population_group,population_density
4,0.05
4,0.11
4,0.13
4,0.01
4,0.05
4,0.1
5,0.14
4,0.19
4,0.03
5,0.1
5,0.09
4,0.02
3,0.45
4,0.07
4,0.16
6,0.32
5,0.55
4,0.14
5,0.06
5,0.01
4,0.13
4,0.11
5,0.29
4,0.08
4,0.46
5,0.17
6,0.13
5,0.17
4,0.16
5,0.04
5,0.14
6,0.1
6,0.23
5,0.03
4,0.1
4,0.21
4,0.07
5,0.42
3,0.16
4,0.05
5,0.22
5,0.16
4,0.11
6,0.18
4,0.13
4,0.21
5,0.21
4,0.16
4,0.02
4,0.03
4,0.14
5,0.22
4,0.09
4,0.07
6,0.08
4,0.05
6,0.21
4,0.07
4,0.05
4,0.04
6,0.58
5,0.09
5,0.15
5,0.04
6,0.12
4,0.19
4,0.03
4,0.18
4,0.1
4,0.0
4,0.06
4,0.03
5,1.0
4,0.06
4,0.02
5,0.29
4,0.32
4,0.17
4,0.14
5,0.22
4,0.15
4,0.26
4,0.25
4,0.12
4,0.13
5,0.18
4,0.02
4,0.01
4,0.03
4,0.07
6,0.13
5,0.06
4,0.1
4,0.03
6,0.12
5,0.14
4,0.35
4,0.65
5,0.6
4,0.09
5,0.26
4,0.06
5,0.34
5,0.37
4,0.24
5,0.05
4,0.97
4,0.03
4,0.49
4,0.51
4,0.02
4,0.01
5,0.13
5,0.11
4,0.04
4,0.01
5,0.18
4,0.12
4,0.13
5,0.26
4,0.03
5,0.24
4,0.13
4,0.26
4,0.04
4,0.14
4,0.11
4,0.05
4,0.14
4,0.13
4,0.73
5,0.06
5,0.05
6,0.05
5,0.03
5,0.13
5,0.06
5,0.06
4,0.05
5,0.02
5,0.03
4,0.06
4,0.03
5,0.07
5,0.08
5,0.03
5,0.03
5,0.1
4,0.07
5,0.15
5,0.1
4,0.02
5,0.12
5,0.13
4,0.01
4,0.07
4,0.04
4,0.08
4,0.11
4,0.02
5,0.11
3,0.04
4,0.16
4,0.07
5,0.29
4,0.04
4,0.32
4,0.13
4,0.09
4,0.17
4,0.11
4,0.07
5,0.38
4,0.06
4,0.11
6,0.26
6,0.19
5,0.11
5,0.26
5,0.12
5,0.06
4,0.31
4,0.05
4,0.09
4,0.06
5,0.24
4,0.25
6,0.1
6,0.03
5,0.01
5,0.03
6,0.04
5,0.03
4,0.03
5,0.03
6,0.05
4,0.03
6,0.05
5,0.08
5,0.02
5,0.04
5,0.02
5,0.05
5,0.02
5,0.02
6,0.04
6,0.06
6,0.03
4,0.04
5,0.05
6,0.04
4,0.05
4,0.02
4,0.5
6,0.03
4,0.47
4,1.0
5,0.05
5,0.0
5,0.0
5,0.01
5,0.13
5,0.09
4,0.01
4,0.06
5,0.09
5,0.13
5,0.1
5,0.06
5,0.11
4,0.05
4,0.09
4,0.06
4,0.59
4,0.35
5,0.03
5,0.09
4,0.03
4,0.02
5,0.08
4,0.23
5,0.06
