index,raw_voters,reg,tik,valid_ballots,invalid_ballots,population,population_group
0,385,Алтайский край,Алтайская,174,4,37078,4
162,988,Алтайский край,Бийская,377,15,26480,4
324,1044,Алтайский край,Смоленская,432,11,19181,4
486,81,Алтайский край,Чарышская,37,0,9141,4
648,404,Алтайский край,Егорьевская,168,1,9937,4
810,719,Алтайский край,Рубцовская,346,15,17255,4
972,1244,Алтайский край,"Бийск, Восточная",464,17,77682,5
1134,1694,Алтайский край,Заринская городская,651,22,34910,4
1296,175,Алтайский край,Тогульская,102,0,6179,4
1459,1098,Алтайский край,Благовещенская,325,14,58251,5
1621,743,Алтайский край,Михайловская,289,12,59591,5
1783,83,Алтайский край,Тюменцевская,53,0,10065,4
1945,1755,Амурская область,ЗАТО Циолковский,926,72,3686,3
2107,256,Амурская область,Михайловского района,146,2,10317,4
2269,1187,Амурская область,Сковородинского района,347,6,20189,4
2431,2244,Амурская область,города Благовещенск,702,15,167513,6
2593,2478,Архангельская область,"Архангельск, Октябрьская",1096,20,63823,5
2755,958,Архангельская область,Коношская,286,5,17976,4
2917,140,Архангельская область,Северодвинская городская № 1,113,6,72838,5
3079,13,Архангельская область,"Архангельск, Южная",13,0,59932,5
3241,608,Архангельская область,Красноборская,252,4,10866,4
3403,556,Архангельская область,Приморская_73,225,4,15380,4
3565,2168,Астраханская область,"Астрахань, Кировская",577,8,84512,5
3727,423,Астраханская область,Ахтубинская,154,4,49557,4
3889,1844,Астраханская область,Камызякская,919,24,34261,4
4051,794,Астраханская область,Приволжская,345,12,74558,5
4213,1345,Белгородская область,Белгородская городская,522,13,287727,6
4375,1506,Белгородская область,Белгородская районная,704,15,128195,5
4537,851,Белгородская область,Краснояружская,667,5,11536,4
4699,176,Белгородская область,Алексеевская,162,0,87972,5
4861,1241,Белгородская область,Губкинская,564,14,81442,5
5023,617,Белгородская область,Красногвардейская,435,5,155017,6
5185,2362,Белгородская область,Старооскольская,942,16,207090,6
5347,207,Белгородская область,Шебекинская,137,4,69611,5
5509,372,Брянская область,Выгоничская,355,0,13766,4
5671,1454,Брянская область,Новозыбковская городская,768,22,39763,4
5833,265,Брянская область,Стародубская,257,0,28226,4
5995,1967,Брянская область,"Брянск, Бежицкая",1560,16,120783,5
6157,699,Брянская область,Жирятинская,572,9,4816,3
6319,207,Брянская область,Мглинская,168,1,12781,4
6481,1375,Владимирская область,"Владимир, Октябрьская",514,4,85554,5
6643,1076,Владимирская область,Гусь-Хрустальная городская,366,8,50924,5
6805,422,Владимирская область,Меленковская,253,5,26382,4
6967,1047,Владимирская область,Александровская,411,17,159385,6
7129,659,Владимирская область,Киржачская,290,15,32522,4
7291,1603,Владимирская область,Собинская,498,13,44626,4
7453,2946,Волгоградская область,"Волгоград, Краснооктябрьская",1519,140,110779,5
7615,1732,Волгоградская область,Жирновская,1242,8,29538,4
7777,202,Волгоградская область,Руднянская,120,0,29099,4
7939,241,Волгоградская область,Калачевская,199,0,43910,4
8101,1755,Волгоградская область,Светлоярская,1066,9,28938,4
8263,2178,Волгоградская область,"Волгоград, Дзержинская",1695,0,132699,5
8425,868,Волгоградская область,Нехаевская,717,5,10791,4
8587,756,Волгоградская область,Быковская,513,9,18677,4
8749,1364,Волгоградская область,Ленинская,622,12,245986,6
8911,234,Вологодская область,Бабушкинская,115,1,9631,4
9073,1157,Вологодская область,Вологодская городская,483,7,250385,6
9235,238,Вологодская область,Кичменгско-Городецкая,155,2,13120,4
9397,192,Вологодская область,Тотемская,121,3,17332,4
9559,170,Вологодская область,Кадуйская,83,0,13630,4
9721,2879,Вологодская область,Череповецкая городская,1344,16,242671,6
9883,1640,Воронежская область,"Воронеж, Железнодорожная",496,6,116057,5
10045,807,Воронежская область,"Воронеж, Центральная",779,28,85901,5
10207,210,Воронежская область,Новоусманская,206,0,65886,5
10369,2042,Воронежская область,"Воронеж, Советская",641,17,161914,6
10531,1186,Воронежская область,Репьевская,1043,0,12566,4
10693,184,Воронежская область,Верхнехавская,147,4,18173,4
10855,1438,Воронежская область,Грибановская,938,24,23887,4
11017,836,Воронежская область,Эртильская,541,15,18704,4
11179,25,Воронежская область,Бутурлиновская,25,0,37531,4
