index,raw_voters,reg,tik,valid_ballots,invalid_ballots,population,population_group
93931,1496,город Москва,район Чертаново Южное,496,12,67823,5
28932,1672,Ленинградская область,Волховская,541,22,64120,5
88650,1972,Чувашская Республика - Чувашия,"Чебоксары, Калининская",919,38,128769,5
21404,2592,Краснодарский край,Динская,2364,16,108556,5
53520,318,Республика Бурятия,Окинская,193,4,3861,3
25342,137,Красноярский край,Ужурская,66,3,23440,4
14961,239,Иркутская область,Черемховская,110,3,21445,4
38500,299,Новосибирская область,Чановская,155,6,18494,4
19919,1231,Кировская область,Слободская городская,513,18,25768,4
84594,373,Хабаровский край,Хабаровская (ОИК 70),140,1,30796,4
88546,86,Чувашская Республика - Чувашия,Цивильская,61,4,24601,4
70521,1151,Саратовская область,Пугачевская,684,10,39883,4
68232,2905,Самарская область,"Самара, Ленинская",694,15,53559,5
17860,2364,Кемеровская область - Кузбасс,"Кемерово, Кировская",689,22,40798,4
85145,1978,Ханты-Мансийский автономный округ - Югра,Нижневартовская городская,743,41,187191,6
88448,161,Чувашская Республика - Чувашия,Марпосадская,101,6,16820,4
34874,2362,Мурманская область,Североморская,848,17,41507,4
13786,226,Иркутская область,Казачинско-Ленская,100,1,13514,4
14497,153,Иркутская область,Заларинская,65,4,21363,4
79664,570,Тульская область,Ефремовская,322,7,45452,4
69008,353,Самарская область,Шенталинская,315,3,9675,4
70271,680,Саратовская область,Вольская,618,0,61465,5
70375,858,Саратовская область,Ершовская,341,7,31308,4
16628,2304,Калужская область,Людиновская,1053,30,32160,4
43330,593,Оренбургская область,"Орск, Советская",208,10,54192,5
2151,169,Амурская область,Ромненского округа,101,0,6763,4
57290,65,Республика Коми,Ухтинская городская,63,2,82143,5
45936,2537,Пермский край,"Пермь, Мотовилихинская",1035,42,144129,5
67674,379,Рязанская область,Рыбновская,199,6,29495,4
14533,1063,Иркутская область,Заларинская,463,34,21363,4
65201,2836,Ростовская область,"Ростов-на-Дону, Октябрьская",1160,22,116884,5
60053,385,Республика Саха (Якутия),Мегино-Кангаласская,258,3,23607,4
29624,910,Липецкая область,Липецкая 114 ок,467,4,20869,4
80415,2341,Тульская область,"Тула, Зареченская",917,22,70544,5
63336,857,Республика Татарстан (Татарстан),Лениногорская,806,0,15564,4
35511,1772,Нижегородская область,"Нижний Новгород, Советская",682,16,128180,5
21739,1596,Краснодарский край,Абинская,1319,23,69869,5
93391,1956,город Москва,Басманный район,654,13,50607,5
11497,289,Воронежская область,Подгоренская,183,0,18246,4
63639,2118,Республика Татарстан (Татарстан),"Казань, Советская",1299,14,246285,6
54782,184,Республика Дагестан,Агульская,159,2,5612,4
74483,1371,Свердловская область,Серовская городская,709,31,65242,5
50043,207,Республика Башкортостан,Чекмагушевская,197,0,22863,4
64568,1947,Ростовская область,"Ростов-на-Дону, Пролетарская",770,12,90163,5
19875,1037,Кировская область,Свечинская,450,5,5911,4
53889,2422,Республика Дагестан,Бабаюртовская,1875,47,28442,4
64063,810,Республика Хакасия,Алтайская,325,4,37078,4
16566,1965,Калужская область,"Калуга, Ленинская",829,19,117497,5
93258,597,город Москва,район Савелки,263,5,18184,4
78685,311,Тверская область,Торопецкая,146,1,15886,4
26472,2289,Курганская область,"Курган, Восточная",1310,34,126749,5
73489,1459,Свердловская область,Ирбитская городская,768,28,30357,4
69570,1058,Самарская область,Кинельская городская,673,19,38162,4
47983,1102,Приморский край,Арсеньевская городская,339,16,42935,4
83046,1722,Ульяновская область,"Ульяновск, Заволжская N1",522,8,84426,5
80343,1781,Тульская область,Новомосковская,814,28,206412,6
74816,862,Смоленская область,Сафоновская,504,4,41776,4
52675,735,Республика Башкортостан,Гафурийская,353,0,25065,4
39437,520,Новосибирская область,Ордынская,206,11,30140,4
42819,159,Оренбургская область,Северная,89,3,17754,4
77652,1346,Тверская область,Кашинская,512,19,19946,4
93716,1628,город Москва,район Зюзино,434,55,53710,5
3273,1849,Архангельская область,Ленская,911,21,43470,4
83829,527,Хабаровский край,Бикинская,165,10,17132,4
15873,3003,Калининградская область,Гурьевская 97,1283,38,56576,5
36745,1158,Нижегородская область,"Дзержинск, Свердловская",517,14,88896,5
52819,728,Республика Башкортостан,Ишимбайская,512,6,66784,5
71199,462,Саратовская область,Краснокутская,346,5,24327,4
38699,1237,Новосибирская область,"Новосибирск, Дзержинская",375,9,119963,5
47441,2060,Приморский край,Уссурийская городская,684,29,145460,5
68779,2190,Самарская область,Похвистневская городская,1283,56,18102,4
78618,458,Тверская область,Торжокская,209,7,15476,4
75100,307,Смоленская область,Краснинская,167,2,20783,4
85321,1160,Ханты-Мансийский автономный округ - Югра,Сургутская городская,582,22,287508,6
96309,2035,город Севастополь,Нахимовская,1655,22,83820,5
69389,1605,Самарская область,Чапаевская городская,568,16,52486,5
24968,435,Красноярский край,Каратузская,212,21,11162,4
90539,2063,город Москва,Ярославский район,705,15,39416,4
38232,2207,Новосибирская область,"Новосибирск, Калининская",454,14,147745,5
6316,300,Брянская область,Красногорская,274,0,29265,4
28190,137,Курская область,Черемисиновская,92,2,7504,4
31172,469,Московская область,Коломенская городская,234,3,154144,6
9342,600,Вологодская область,Сокольская,249,6,37727,4
67281,2609,Рязанская область,"Рязань, Советская",889,12,67322,5
89984,226,Ярославская область,Большесельская,132,0,7139,4
72253,1424,Свердловская область,"Екатеринбург, Ленинская",670,13,163460,6
69767,1492,Саратовская область,Базарно-Карабулакская,1343,0,22964,4
71275,852,Саратовская область,Новоузенская,626,7,21583,4
41853,1757,Оренбургская область,"Оренбург, Ленинская",749,17,154668,6
87409,908,Челябинская область,Катав-Ивановская,408,9,23841,4
76523,468,Ставропольский край,Нефтекумская,406,2,41017,4
27131,93,Курская область,Дмитриевская,68,0,11782,4
88016,163,Чеченская Республика,Ножай-Юртовская,148,1,31980,4
11635,111,Еврейская автономная область,Биробиджанская,84,1,8855,4
34066,957,Московская область,Богородская городская,304,16,169141,6
1390,1986,Алтайский край,"Барнаул, Ленинская",559,22,117960,5
25799,241,Красноярский край,Казачинская,174,3,6849,4
29768,962,Липецкая область,Добринская,429,20,26226,4
33832,1399,Московская область,Серпуховская городская,521,17,137786,5
94230,2404,город Санкт-Петербург,Территориальная избирательная комиссия №50,794,23,47041,4
86799,142,Челябинская область,Верхнеуральская,100,1,24800,4
36610,427,Нижегородская область,Сосновская,373,6,101674,5
56718,608,Республика Коми,Ижемская,206,4,14386,4
66766,325,Ростовская область,Морозовская,306,0,30218,4
27092,232,Курганская область,Юргамышская,179,11,14681,4
72725,1788,Свердловская область,"Екатеринбург, Кировская",760,31,157940,6
84694,583,Ханты-Мансийский автономный округ - Югра,Кондинская,328,9,25094,4
20907,243,Костромская область,Макарьевская,132,1,11328,4
12482,457,Забайкальский край,Кыринская,248,9,9975,4
34392,1489,Мурманская область,Кандалакшская,576,20,35040,4
69679,2124,Самарская область,"Самара, Промышленная",701,8,205474,6
64378,338,Ростовская область,Веселовская,247,0,17274,4
77987,2144,Тверская область,"Тверь, Пролетарская",929,20,73317,5
25553,56,Красноярский край,Боготольская,35,0,5918,4
27928,485,Курская область,Курская - 110,247,6,24568,4
65218,2445,Ростовская область,"Ростов-на-Дону, Октябрьская",643,18,116884,5
71363,2020,Саратовская область,"Саратов, Октябрьская",619,13,88126,5
49414,637,Республика Адыгея (Адыгея),Шовгеновская,603,0,11516,4
3712,1867,Астраханская область,"Астрахань, Трусовская",1127,4,79077,5
14642,167,Иркутская область,Нижнеудинская,103,0,47774,4
74834,1250,Смоленская область,"Смоленск, Заднепровская",418,9,74580,5
47189,18,Приморский край,"Владивосток, Фрунзенская",18,0,47501,4
81720,1356,Удмуртская Республика,Воткинская,689,28,18336,4
54235,1286,Республика Дагестан,Хасавюртовская,1243,0,100440,5
2443,1396,Амурская область,города Благовещенск,424,13,167513,6
65512,2095,Ростовская область,"Ростов-на-Дону, Ворошиловская",863,10,143049,5
80602,551,Тюменская область,Абатская,465,0,14142,4
47274,19,Приморский край,"Владивосток, Фрунзенская",18,1,47501,4
59433,310,Республика Мордовия,Лямбирская,265,0,24725,4
36955,1104,Нижегородская область,Бор округ,363,10,94258,5
17432,1458,Камчатский край,Петропавловск-Камчатская городская,478,7,128873,5
68605,1429,Самарская область,Исаклинская,1275,44,9088,4
44205,720,Пензенская область,Колышлейская,509,6,16992,4
23287,1228,Краснодарский край,Гулькевичская,1084,5,70037,5
5344,214,Белгородская область,Шебекинская,117,3,69611,5
23002,630,Краснодарский край,Новопокровская,550,10,32299,4
76911,623,Тамбовская область,Сосновская,493,12,101674,5
29695,779,Липецкая область,Чаплыгинская,630,9,23149,4
45087,1468,Пензенская область,"Пенза, Железнодорожная",811,4,86144,5
87099,2089,Челябинская область,"Магнитогорск, Правобережная",938,16,83155,5
70469,537,Саратовская область,Озинская,344,6,14202,4
94906,1581,город Санкт-Петербург,Территориальная избирательная комиссия №25,588,14,98036,5
52796,897,Республика Башкортостан,Ишимбайская,383,24,66784,5
80253,565,Тульская область,Заокская,312,10,14656,4
35238,927,Нижегородская область,Лысковская,524,9,27671,4
80352,1579,Тульская область,Новомосковская,726,32,206412,6
81753,1437,Удмуртская Республика,Воткинская городская,571,24,70048,5
71765,16,Сахалинская область,Невельская судовая,16,0,2302,3
55845,928,Республика Ингушетия,Малгобекская,809,3,33124,4
50637,136,Республика Башкортостан,Мишкинская,110,11,30674,4
73030,1123,Свердловская область,Невьянская,547,26,32437,4
74111,2432,Свердловская область,Ревдинская,1230,60,47745,4
73446,385,Свердловская область,Ирбитская,165,4,22877,4
80567,371,Тульская область,Ясногорская,344,3,23308,4
19384,1126,Кемеровская область - Кузбасс,Таштагольская,706,31,35395,4
19540,770,Кировская область,Зуевская,304,7,16786,4
42756,1999,Оренбургская область,"Оренбург, Промышленная",859,30,84391,5
66557,1831,Ростовская область,Волгодонская городская,576,20,117569,5
26706,241,Курганская область,Мишкинская,144,2,30674,4
9983,1854,Воронежская область,"Воронеж, Левобережная",489,5,148492,5
43812,294,Орловская область,Новосильская,191,0,6584,4
66595,1943,Ростовская область,Волгодонская городская,712,12,117569,5
23563,257,Краснодарский край,Отрадненская,229,0,45300,4
56020,343,Республика Калмыкия,Малодербетовская,194,8,7158,4
82579,140,Удмуртская Республика,Киясовская,90,6,8142,4
70121,326,Саратовская область,Татищевская,312,0,21380,4
57404,1271,Республика Крым,Белогорская,586,28,47523,4
20607,469,Костромская область,Буйская,289,4,8072,4
91484,1268,город Москва,район Отрадное,386,22,89967,5
58648,1886,Республика Марий Эл,Йошкар-Олинская городская № 1,957,16,104003,5
19340,690,Кемеровская область - Кузбасс,Новокузнецкая,417,8,34600,4
27744,811,Курская область,Касторенская,301,23,13283,4
3073,10,Архангельская область,"Архангельск, Южная",9,1,59932,5
89313,22,Чукотский автономный округ,Анадырская городская,16,4,9183,4
83874,15,Хабаровский край,Ванинская,14,1,25460,4
12794,2167,Ивановская область,"Иваново, Октябрьская",667,14,67552,5
9392,855,Вологодская область,Тотемская,442,4,17332,4
8873,502,Волгоградская область,Среднеахтубинская,322,10,42792,4
24909,500,Красноярский край,Ермаковская,213,5,15028,4
10959,202,Воронежская область,Рамонская,169,0,29284,4
49280,2000,Республика Адыгея (Адыгея),Майкопская городская,1347,24,131966,5
73083,2015,Свердловская область,"Нижний Тагил, Дзержинская",1001,63,87254,5
1763,1093,Алтайский край,Тальменская,342,17,33234,4
2460,2013,Амурская область,города Благовещенск,846,39,167513,6
83996,566,Хабаровский край,Нанайская,195,8,12539,4
55769,70,Республика Дагестан,Чародинская,69,0,8770,4
28557,952,Ленинградская область,Кировская,582,12,226653,6
53116,767,Республика Бурятия,Бичурская,426,4,16252,4
52340,1994,Республика Башкортостан,Сибайская городская,1423,3,41421,4
1742,311,Алтайский край,Тальменская,158,3,33234,4
87251,777,Челябинская область,Ашинская городская,364,24,46024,4
72119,3002,Свердловская область,"Екатеринбург, Верх-Исетская",1313,30,182120,6
6712,342,Владимирская область,Ковровская,162,7,22201,4
56951,2090,Республика Коми,"Сыктывкар, Эжвинская",918,15,39060,4
75089,1182,Смоленская область,Краснинская,438,11,20783,4
86895,1407,Челябинская область,Кизильская,568,442,16650,4
61306,123,Республика Татарстан (Татарстан),Мамадышская,121,0,31937,4
50468,336,Республика Башкортостан,Караидельская,303,0,18426,4
95894,2547,город Санкт-Петербург,Территориальная избирательная комиссия №20,1061,29,87898,5
86788,479,Челябинская область,Варненская,212,5,19186,4
33501,1154,Московская область,Сергиево-Посадская городская,429,22,186649,6
72901,2065,Свердловская область,"Екатеринбург, Орджоникидзевская",949,24,192553,6
58515,514,Республика Марий Эл,Горномарийская,255,7,18929,4
43768,1673,Орловская область,Мценская городская,647,31,32874,4
14067,176,Иркутская область,Эхирит-Булагатская,82,0,23497,4
38218,2732,Новосибирская область,"Новосибирск, Заельцовская",781,12,117973,5
56694,951,Республика Коми,Воркутинская городская,326,12,59573,5
33973,789,Московская область,Чеховская городская,337,11,106115,5
47652,1822,Приморский край,"Владивосток, Первореченская",618,27,103184,5
60848,2616,Республика Северная Осетия - Алания,ТИК Правобережной части г.Владикавказа,2290,0,107896,5
44574,251,Пензенская область,Пензенская,182,1,54842,5
27242,446,Курская область,Золотухинская,273,10,16331,4
69485,198,Самарская область,Кинель-Черкасская,140,2,29892,4
48917,597,Псковская область,Порховская,265,11,16682,4
20020,693,Кировская область,Верхошижемская,368,4,6784,4
12244,799,Забайкальский край,Шелопугинская,289,14,5576,4
71689,252,Сахалинская область,Макаровская,125,4,5749,4
61993,98,Республика Татарстан (Татарстан),Кайбицкая,92,1,10060,4
19439,123,Кировская область,Афанасьевская,106,0,9969,4
42355,319,Оренбургская область,Асекеевская,212,5,15219,4
39481,67,Новосибирская область,Сузунская,63,1,23263,4
20210,2422,Кировская область,"Киров, Ленинская 2",938,25,94925,5
25772,535,Красноярский край,Иланская,283,10,16608,4
39424,2663,Новосибирская область,Новосибирская,843,17,123707,5
4826,970,Белгородская область,Волоконовская,944,14,24363,4
39959,662,Новосибирская область,Чулымская,246,6,17607,4
15088,654,Иркутская область,Братская,197,5,47994,4
41482,284,Омская область,ТИК по Называевскому району,134,1,16703,4
8364,186,Волгоградская область,Михайловская,135,0,59591,5
36569,416,Нижегородская область,Павловская,286,6,205149,6
57441,941,Республика Крым,Белогорская,343,13,47523,4
63789,1502,Республика Тыва,Дзун-Хемчикская,1064,70,12696,4
47318,1223,Приморский край,Надеждинская,445,20,32924,4
66364,1107,Ростовская область,Октябрьская,486,0,308508,6
61823,250,Республика Татарстан (Татарстан),Зеленодольская,249,0,50513,5
30012,2276,Липецкая область,"Липецк, Октябрьская №2",883,18,67444,5
22170,2307,Краснодарский край,"Новороссийск, Пригородная",2195,0,41519,4
76747,234,Тамбовская область,Моршанская,205,0,22489,4
51993,102,Республика Башкортостан,Зианчуринская,92,0,20738,4
62661,434,Республика Татарстан (Татарстан),Агрызская,421,0,24124,4
2861,1136,Архангельская область,Плесецкая,444,11,33544,4
11276,135,Воронежская область,Каменская,109,0,155560,6
26094,282,Красноярский край,Тасеевская,170,0,9189,4
78204,805,Тверская область,Западнодвинская,342,7,12299,4
58088,237,Республика Крым,Джанкойская,134,12,52366,5
86182,1577,Челябинская область,"Челябинск, Металлургическая",578,13,95665,5
71534,1967,Саратовская область,Энгельсская,1123,0,218814,6
15481,1840,Кабардино-Балкарская Республика,Баксанская,1576,0,42269,4
75926,656,Ставропольский край,"Ставрополь, Промышленная",491,30,167373,6
44518,2022,Пензенская область,"Пенза, Первомайская",677,18,102400,5
2952,2394,Архангельская область,Северодвинская городская № 2,1087,22,70490,5
6727,562,Владимирская область,Ковровская городская,201,5,109974,5
49693,50,Республика Башкортостан,Буздякская,48,0,21259,4
38466,799,Новосибирская область,Чановская,405,13,18494,4
49783,1220,Республика Башкортостан,Кармаскалинская,964,20,38394,4
35940,96,Нижегородская область,Лукояновская,84,0,18371,4
87949,1066,Чеченская Республика,Надтеречная,1040,0,37892,4
79783,1206,Тульская область,Ленинская - 183,430,15,24602,4
14430,755,Иркутская область,Свирская,325,13,10786,4
8908,132,Вологодская область,Бабушкинская,69,0,9631,4
15198,2611,Иркутская область,Братская городская,805,29,165865,6
7393,1782,Владимирская область,Юрьев-Польская,674,14,25249,4
44791,307,Пензенская область,Вадинская,244,2,6311,4
18947,34,Кемеровская область - Кузбасс,Ленинск-Кузнецкая городская,31,1,73856,5
93848,1694,город Москва,район Черемушки,463,7,49771,4
93823,2047,город Москва,район Теплый Стан,576,7,61909,5
24110,127,Красноярский край,Канская,73,2,16102,4
13204,346,Ивановская область,Заволжская,142,6,13972,4
85764,2121,Челябинская область,"Челябинск, Курчатовская",665,7,168354,6
22212,893,Краснодарский край,"Новороссийск, Центральная",703,14,48797,4
27425,485,Курская область,Курчатовская,208,3,12283,4
71655,18,Сахалинская область,Корсаковская,18,0,35325,4
71509,1642,Саратовская область,Энгельсская,739,0,218814,6
42997,726,Оренбургская область,Гайская городская,394,7,37144,4
82697,1263,Удмуртская Республика,Сарапульская,611,6,17977,4
63290,1887,Республика Татарстан (Татарстан),Бугульминская городская,1832,15,63588,5
49688,276,Республика Башкортостан,Буздякская,190,5,21259,4
19248,1355,Кемеровская область - Кузбасс,"Новокузнецк, Орджоникидзевская",1085,8,59104,5
11192,537,Воронежская область,Верхнемамонская,398,4,14659,4
35916,177,Нижегородская область,Дивеевская,170,0,11911,4
80939,1126,Тюменская область,"Тюмень, Ленинская",465,10,118856,5
16854,246,Калужская область,Боровская,200,0,47647,4
22474,177,Краснодарский край,Апшеронская,161,1,58801,5
79803,385,Тульская область,Одоевская,277,7,8914,4
59722,214,Республика Мордовия,Торбеевская,185,0,14140,4
61942,1524,Республика Татарстан (Татарстан),"Казань, Московская",823,4,90794,5
55368,2199,Республика Дагестан,Новолакская,2126,0,23323,4
51974,79,Республика Башкортостан,Бурзянская,60,2,12005,4
71661,4,Сахалинская область,Корсаковская,4,0,35325,4
3094,19,Архангельская область,"Архангельск, Южная",19,0,59932,5
1899,140,Амурская область,Благовещенского района,67,0,23875,4
61058,1224,Республика Татарстан (Татарстан),"Казань, Вахитовская",792,17,61161,5
19914,356,Кировская область,Слободская,180,2,24512,4
