raw_voters,reg,tik,valid_ballots,invalid_ballots,population,population_group,sum,sum_city,population_density
385,Алтайский край,Алтайская,174,4,37078,4,178,3529,0.05
988,Алтайский край,Бийская,377,15,26480,4,392,3529,0.11
1044,Алтайский край,Смоленская,432,11,19181,4,443,3529,0.13
81,Алтайский край,Чарышская,37,0,9141,4,37,3529,0.01
404,Алтайский край,Егорьевская,168,1,9937,4,169,3529,0.05
719,Алтайский край,Рубцовская,346,15,17255,4,361,3529,0.1
1244,Алтайский край,"Бийск, Восточная",464,17,77682,5,481,3529,0.14
1694,Алтайский край,Заринская городская,651,22,34910,4,673,3529,0.19
175,Алтайский край,Тогульская,102,0,6179,4,102,3529,0.03
1098,Алтайский край,Благовещенская,325,14,58251,5,339,3529,0.1
743,Алтайский край,Михайловская,289,12,59591,5,301,3529,0.09
83,Алтайский край,Тюменцевская,53,0,10065,4,53,3529,0.02
1755,Амурская область,ЗАТО Циолковский,926,72,3686,3,998,2216,0.45
256,Амурская область,Михайловского района,146,2,10317,4,148,2216,0.07
1187,Амурская область,Сковородинского района,347,6,20189,4,353,2216,0.16
2244,Амурская область,города Благовещенск,702,15,167513,6,717,2216,0.32
2478,Архангельская область,"Архангельск, Октябрьская",1096,20,63823,5,1116,2024,0.55
958,Архангельская область,Коношская,286,5,17976,4,291,2024,0.14
140,Архангельская область,Северодвинская городская № 1,113,6,72838,5,119,2024,0.06
13,Архангельская область,"Архангельск, Южная",13,0,59932,5,13,2024,0.01
608,Архангельская область,Красноборская,252,4,10866,4,256,2024,0.13
556,Архангельская область,Приморская_73,225,4,15380,4,229,2024,0.11
2168,Астраханская область,"Астрахань, Кировская",577,8,84512,5,585,2043,0.29
423,Астраханская область,Ахтубинская,154,4,49557,4,158,2043,0.08
1844,Астраханская область,Камызякская,919,24,34261,4,943,2043,0.46
794,Астраханская область,Приволжская,345,12,74558,5,357,2043,0.17
1345,Белгородская область,Белгородская городская,522,13,287727,6,535,4205,0.13
1506,Белгородская область,Белгородская районная,704,15,128195,5,719,4205,0.17
851,Белгородская область,Краснояружская,667,5,11536,4,672,4205,0.16
176,Белгородская область,Алексеевская,162,0,87972,5,162,4205,0.04
1241,Белгородская область,Губкинская,564,14,81442,5,578,4205,0.14
617,Белгородская область,Красногвардейская,435,5,155017,6,440,4205,0.1
2362,Белгородская область,Старооскольская,942,16,207090,6,958,4205,0.23
207,Белгородская область,Шебекинская,137,4,69611,5,141,4205,0.03
372,Брянская область,Выгоничская,355,0,13766,4,355,3728,0.1
1454,Брянская область,Новозыбковская городская,768,22,39763,4,790,3728,0.21
265,Брянская область,Стародубская,257,0,28226,4,257,3728,0.07
1967,Брянская область,"Брянск, Бежицкая",1560,16,120783,5,1576,3728,0.42
699,Брянская область,Жирятинская,572,9,4816,3,581,3728,0.16
207,Брянская область,Мглинская,168,1,12781,4,169,3728,0.05
1375,Владимирская область,"Владимир, Октябрьская",514,4,85554,5,518,2394,0.22
1076,Владимирская область,Гусь-Хрустальная городская,366,8,50924,5,374,2394,0.16
422,Владимирская область,Меленковская,253,5,26382,4,258,2394,0.11
1047,Владимирская область,Александровская,411,17,159385,6,428,2394,0.18
659,Владимирская область,Киржачская,290,15,32522,4,305,2394,0.13
1603,Владимирская область,Собинская,498,13,44626,4,511,2394,0.21
2946,Волгоградская область,"Волгоград, Краснооктябрьская",1519,140,110779,5,1659,7876,0.21
1732,Волгоградская область,Жирновская,1242,8,29538,4,1250,7876,0.16
202,Волгоградская область,Руднянская,120,0,29099,4,120,7876,0.02
241,Волгоградская область,Калачевская,199,0,43910,4,199,7876,0.03
1755,Волгоградская область,Светлоярская,1066,9,28938,4,1075,7876,0.14
2178,Волгоградская область,"Волгоград, Дзержинская",1695,0,132699,5,1695,7876,0.22
868,Волгоградская область,Нехаевская,717,5,10791,4,722,7876,0.09
756,Волгоградская область,Быковская,513,9,18677,4,522,7876,0.07
1364,Волгоградская область,Ленинская,622,12,245986,6,634,7876,0.08
234,Вологодская область,Бабушкинская,115,1,9631,4,116,2330,0.05
1157,Вологодская область,Вологодская городская,483,7,250385,6,490,2330,0.21
238,Вологодская область,Кичменгско-Городецкая,155,2,13120,4,157,2330,0.07
192,Вологодская область,Тотемская,121,3,17332,4,124,2330,0.05
170,Вологодская область,Кадуйская,83,0,13630,4,83,2330,0.04
2879,Вологодская область,Череповецкая городская,1344,16,242671,6,1360,2330,0.58
1640,Воронежская область,"Воронеж, Железнодорожная",496,6,116057,5,502,5396,0.09
807,Воронежская область,"Воронеж, Центральная",779,28,85901,5,807,5396,0.15
210,Воронежская область,Новоусманская,206,0,65886,5,206,5396,0.04
2042,Воронежская область,"Воронеж, Советская",641,17,161914,6,658,5396,0.12
1186,Воронежская область,Репьевская,1043,0,12566,4,1043,5396,0.19
184,Воронежская область,Верхнехавская,147,4,18173,4,151,5396,0.03
1438,Воронежская область,Грибановская,938,24,23887,4,962,5396,0.18
836,Воронежская область,Эртильская,541,15,18704,4,556,5396,0.1
25,Воронежская область,Бутурлиновская,25,0,37531,4,25,5396,0.0
328,Воронежская область,Новохоперская,319,0,27636,4,319,5396,0.06
174,Воронежская область,Подгоренская,167,0,18246,4,167,5396,0.03
