index,raw_voters,reg,tik,valid_ballots,invalid_ballots,population,population_group,Группа
70165,1001,Саратовская область,Балаковская,891,8,154813,6,1
46265,2068,Пермский край,"Пермь, Индустриальная",610,23,118008,5,1
19470,557,Кировская область,Белохолуницкая,296,6,14678,4,1
70855,437,Саратовская область,Калининская,376,3,62359,5,1
14369,582,Иркутская область,Иркутская - 94,358,6,56936,5,1
436,135,Алтайский край,Усть-Калманская,72,1,11212,4,1
43522,284,Орловская область,Должанская,185,0,8404,4,1
21928,1315,Краснодарский край,Славянская,946,0,96542,5,1
65878,165,Ростовская область,Кашарская,104,1,16096,4,1
43516,353,Орловская область,Дмитровская,193,3,9806,4,1
62126,1173,Республика Татарстан (Татарстан),Алексеевская,1100,10,87972,5,1
22721,2054,Краснодарский край,"Сочи, Хостинская",1878,22,78176,5,1
75395,1249,Ставропольский край,Благодарненская,747,45,41089,4,1
1482,532,Алтайский край,Бурлинская,255,14,7905,4,1
49374,2833,Республика Адыгея (Адыгея),Тахтамукайская,2246,12,62349,5,1
39048,1470,Новосибирская область,Бердская городская,548,11,84743,5,1
80816,361,Тюменская область,Нижнетавдинская,350,0,18961,4,1
56775,1231,Республика Коми,Княжпогостская,517,12,15401,4,1
82809,342,Удмуртская Республика,Увинская,219,8,29174,4,1
14646,78,Иркутская область,Нижнеудинская,27,0,47774,4,1
4028,699,Астраханская область,Наримановская,446,15,33697,4,1
30988,1720,Московская область,Воскресенская городская,526,28,119162,5,1
29198,1326,Ленинградская область,Тосненская,611,0,92290,5,1
67686,373,Рязанская область,Рыбновская,253,0,29495,4,1
61469,423,Республика Татарстан (Татарстан),Апастовская,406,5,15087,4,1
49877,1667,Республика Башкортостан,"Уфа, Кировская",1244,2,126760,5,1
73108,928,Свердловская область,"Нижний Тагил, Ленинская",586,14,81815,5,1
71666,31,Сахалинская область,Корсаковская,31,0,35325,4,1
38230,2199,Новосибирская область,"Новосибирск, Калининская",635,9,147745,5,1
14712,378,Иркутская область,Тайшетская,148,5,55606,5,1
6425,263,Брянская область,Унечская,247,2,30212,4,1
31272,1305,Московская область,Луховицкая городская,582,16,48535,4,1
84721,2412,Ханты-Мансийский автономный округ - Югра,Нефтеюганская,2054,2,36930,4,1
45935,2418,Пермский край,"Пермь, Мотовилихинская",977,37,144129,5,1
66910,2130,Ростовская область,Усть-Донецкая,1586,9,18876,4,1
25374,101,Красноярский край,Ужурская,59,3,23440,4,1
62500,232,Республика Татарстан (Татарстан),Спасская,191,0,73151,5,1
52075,272,Республика Башкортостан,Кугарчинская,230,0,23233,4,1
79724,2188,Тульская область,Киреевская,913,22,55226,5,1
67573,500,Рязанская область,Захаровская,287,4,7723,4,1
10339,2702,Воронежская область,"Воронеж, Советская",661,14,161914,6,1
23271,799,Краснодарский край,Гулькевичская,680,7,70037,5,1
88580,170,Чувашская Республика - Чувашия,Цивильская,119,3,24601,4,1
32236,485,Московская область,Можайская городская,277,0,55280,5,1
77448,1273,Тамбовская область,Тамбовская_178,633,17,21801,4,1
15365,1602,Иркутская область,Усть-Илимская городская,290,11,60439,5,1
33571,1134,Московская область,Сергиево-Посадская городская,682,8,186649,6,1
31810,1603,Московская область,Жуковская городская,807,24,74513,5,1
26479,1724,Курганская область,"Курган, Восточная",706,18,126749,5,1
58669,1055,Республика Марий Эл,Йошкар-Олинская городская № 2,399,10,102485,5,1
80818,211,Тюменская область,Нижнетавдинская,201,2,18961,4,1
13745,3205,Иркутская область,Иркутская - 93,1098,17,55056,5,1
26084,354,Красноярский край,Таймырская Долгано-Ненецкая №2,247,1,3485,3,1
32719,854,Московская область,Павлово-Посадская городская,638,8,63270,5,1
38139,109,Новосибирская область,Кыштовская,63,4,8938,4,1
67082,746,Рязанская область,Кадомская,399,7,6031,4,1
64290,2096,Республика Хакасия,Черногорская городская,719,16,53383,5,1
44667,566,Пензенская область,Шемышейская,454,0,11796,4,1
31003,1322,Московская область,Воскресенская городская,440,14,119162,5,1
9464,222,Вологодская область,Белозерская,113,1,24329,4,1
83293,1613,Ульяновская область,Инзенская,830,41,24387,4,1
32555,1778,Московская область,Рузская городская,598,29,52134,5,1
59687,251,Республика Мордовия,Теньгушевская,208,0,7364,4,1
83298,510,Ульяновская область,Инзенская,291,12,24387,4,1
71138,366,Саратовская область,Турковская,255,0,8649,4,1
79350,2328,Томская область,"Томск, Советская",1000,13,79134,5,1
8778,1109,Волгоградская область,Николаевская,889,0,64450,5,1
15559,1837,Кабардино-Балкарская Республика,Майская,1539,0,25433,4,1
83204,319,Ульяновская область,Базарносызганская,207,0,6364,4,1
13356,1153,Ивановская область,Кинешемская,381,16,16477,4,1
63293,1029,Республика Татарстан (Татарстан),Бугульминская городская,1013,0,63588,5,1
27759,275,Курская область,Касторенская,146,2,13283,4,1
65222,1429,Ростовская область,Таганрогская городская (восточная),511,7,103514,5,1
84874,2356,Ханты-Мансийский автономный округ - Югра,Сургутская в части №222,1132,48,89473,5,1
58186,419,Республика Крым,Красноперекопская,259,1,20032,4,1
50097,221,Республика Башкортостан,Чишминская,199,0,39165,4,1
67085,662,Рязанская область,Кадомская,330,4,6031,4,1
17305,19,Камчатский край,Петропавловск-Камчатская (судовая),19,0,6720,4,1
74201,332,Свердловская область,Верхотурская,180,14,11062,4,1
4735,1516,Белгородская область,Валуйская,1033,14,52633,5,1
28908,1725,Ленинградская область,Бокситогорская,720,17,40362,4,1
50164,365,Республика Башкортостан,Аскинская,331,1,15759,4,1
35906,491,Нижегородская область,Дивеевская,465,0,11911,4,1
22154,1774,Краснодарский край,"Новороссийск, Пригородная",1559,0,41519,4,1
16849,2002,Калужская область,Боровская,805,22,47647,4,1
51888,387,Республика Башкортостан,Баймакская,310,0,41451,4,1
52871,389,Республика Башкортостан,Миякинская,337,0,21127,4,1
89794,1883,Ярославская область,"Ярославль, Дзержинская",594,5,117074,5,1
80082,975,Тульская область,Щекинская,363,5,77984,5,1
64717,257,Ростовская область,Азовская,97,2,71621,5,1
5615,1100,Брянская область,Комаричская,954,0,12373,4,1
41111,2629,Омская область,"Омск, Советская",891,25,183999,6,1
2207,140,Амурская область,Свободненского района,82,2,11674,4,1
27487,844,Курская область,Льговская городская,404,13,14892,4,1
6726,2559,Владимирская область,Ковровская городская,836,34,109974,5,1
80274,1307,Тульская область,Кимовская,715,12,31374,4,1
11718,99,Еврейская автономная область,Ленинская,58,32,245986,6,1
11894,415,Забайкальский край,Калганская,273,6,5806,4,1
76386,309,Ставропольский край,Георгиевская,149,9,62586,5,1
18335,1015,Кемеровская область - Кузбасс,Киселевская городская,929,0,70147,5,1
69021,148,Самарская область,Шенталинская,144,0,9675,4,1
11348,452,Воронежская область,Новохоперская,435,0,27636,4,1
79370,982,Томская область,Томская (182),315,10,60857,5,1
23964,1741,Краснодарский край,Староминская,1463,20,30751,4,1
12351,1843,Забайкальский край,Борзинская,658,36,37060,4,1
2722,137,Архангельская область,Каргопольская,62,0,14469,4,1
75795,701,Ставропольский край,Кочубеевская,516,21,52924,5,1
59503,1371,Республика Мордовия,Октябрьская,742,33,308508,6,1
42404,335,Оренбургская область,Бугурусланская,289,0,14853,4,1
87001,1857,Челябинская область,"Магнитогорск, Орджоникидзевская",854,17,154133,6,1
16474,970,Калужская область,Жиздринская,549,16,7515,4,1
